Age,Travel_Distance,Departure_Delay_in_Mins,Arrival_Delay_in_Mins,Seat_Comfort,Arrival_Time_Convenient,Catering,Platform_Location,Onboard_Wifi_Service,Onboard_Entertainment,Online_Support,Ease_of_Online_Booking,Onboard_Service,Legroom,Baggage_Handling,CheckIn_Service,Cleanliness,Online_Boarding,Gender_Male,Customer_Type_Loyal Customer,Type_Travel_Personal Travel,Travel_Class_Eco,Seat_Class_Ordinary,Overall_Experience,ID
36.0,532.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,99900001.0
21.0,1425.0,9.0,28.0,1.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,6.0,4.0,5.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,99900002.0
60.0,2832.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,5.0,3.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,99900003.0
29.0,1352.0,0.0,0.0,4.0,6.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,3.0,6.0,6.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,99900004.0
18.0,1610.0,17.0,0.0,6.0,1.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,99900005.0
49.0,382.0,89.0,72.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,99900006.0
40.0,1761.0,0.0,0.0,4.0,4.0,4.0,2.0,6.0,4.0,6.0,6.0,4.0,4.0,5.0,4.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,99900007.0
11.0,3989.0,0.0,9.0,3.0,3.0,3.0,3.0,6.0,2.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,99900008.0
57.0,2731.0,0.0,0.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,99900009.0
43.0,2645.0,222.0,223.0,3.0,6.0,6.0,6.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,99900010.0
49.0,1963.0,4.0,16.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,99900011.0
20.0,1982.0,4.0,0.0,4.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,99900012.0
20.0,1238.0,0.0,1.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,3.0,6.0,4.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,99900013.0
15.0,1734.0,0.0,0.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,6.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,99900014.0
28.0,2185.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,99900015.0
17.0,1179.0,32.0,15.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,6.0,4.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,99900016.0
34.0,3927.0,1.0,21.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,99900017.0
63.0,2830.0,1.0,0.0,4.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,99900018.0
35.0,2617.0,1.0,0.0,2.0,2.0,2.0,2.0,6.0,3.0,5.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,99900019.0
25.0,2383.0,41.0,30.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,99900020.0
36.0,1611.0,0.0,0.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,99900021.0
27.0,1916.0,0.0,0.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,99900022.0
29.0,1695.0,21.0,25.0,4.0,3.0,3.0,5.0,6.0,3.0,6.0,6.0,6.0,4.0,6.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,99900023.0
32.0,1690.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,99900024.0
49.0,3336.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0,5.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,99900025.0
36.0,1478.0,91.0,86.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,99900026.0
46.0,3009.0,0.0,0.0,1.0,6.0,1.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,99900027.0
54.0,2030.0,0.0,0.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,99900028.0
33.0,3941.0,0.0,0.0,2.0,5.0,1.0,4.0,6.0,1.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,99900029.0
25.0,1615.0,3.0,12.0,4.0,6.0,6.0,6.0,4.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,99900030.0
54.0,474.0,1.0,0.0,4.0,6.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,99900031.0
30.0,2070.0,0.0,0.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,99900032.0
37.0,1910.0,0.0,0.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,99900033.0
